"date","mean_wvwa_cms"
2019-03-18,0.206763086089834
2019-03-19,0.20541312866199
2019-03-20,0.204710038341869
2019-03-21,0.205005277974405
2019-03-22,0.205013752954167
2019-03-23,0.198229256842126
2019-03-24,0.197901237406268
2019-03-25,0.195168972157313
2019-03-26,0.192527283763791
2019-03-27,0.187810751496052
2019-03-28,0.186677801175514
2019-03-29,0.187136845503342
2019-03-30,0.18873061188603
2019-03-31,0.190311135896832
2019-04-01,0.19404293120763
2019-04-02,0.196394508817212
2019-04-03,0.191722508740286
2019-04-04,0.180377579532957
2019-04-05,0.174073420495893
2019-04-06,0.173072854098219
2019-04-07,0.166546313691374
2019-04-08,0.17038068063197
2019-04-09,0.190284483197344
2019-04-10,0.177567869556382
2019-04-11,0.168480233211275
2019-04-12,0.16758811603179
2019-04-13,0.1808605544681
2019-04-14,0.207493394693294
2019-04-15,0.30720057480929
2019-04-16,0.22781527604069
2019-04-17,0.219179616698062
2019-04-18,0.215691196310292
2019-04-19,0.219407641106968
2019-04-20,0.22717895406149
2019-04-21,0.216798800999807
2019-04-22,0.214424880173902
2019-04-23,0.216838329399696
2019-04-24,0.215858946909498
2019-04-25,0.213424892666989
2019-04-26,0.214415867875465
2019-04-27,0.213480250594199
2019-04-28,0.21357463465487
2019-04-29,0.212100660753368
2019-04-30,0.212442960514176
2019-05-01,0.212671483539064
2019-05-02,0.21203345698956
2019-05-03,0.210852482734759
2019-05-04,0.208968985862647
2019-05-05,0.206149289638471
2019-05-06,0.203192275898282
2019-05-07,0.195974317509985
2019-05-08,0.18919898182494
2019-05-09,0.180876031662938
2019-05-10,0.171670556404477
2019-05-11,0.165755429566941
2019-05-12,0.171731096624508
2019-05-13,0.175736454476833
2019-05-14,0.16647948748375
2019-05-15,0.156231101994225
2019-05-16,0.148397161306461
2019-05-17,0.142165254244365
2019-05-18,0.135564864750935
2019-05-19,0.131265446830991
2019-05-20,0.126581692075298
2019-05-21,0.12176446804261
2019-05-22,0.117032242836119
2019-05-23,0.116076865494946
2019-05-24,0.114447613915502
2019-05-25,0.112233462489079
2019-05-26,0.116972389062339
2019-05-27,0.119670909954753
2019-05-28,0.115291459130928
2019-05-29,0.113252181666616
2019-05-30,0.112846680454024
2019-05-31,0.109634595567039
2019-06-01,0.113578202343899
2019-06-02,0.108083660783686
