Site,lat,lon,chla_ugL
B01,37.314783,-79.820864,1.03104
B100,37.31957,-79.82437,0.51552
B20 ,37.3170135,-79.8226419,1.54656
B200,37.322851,-79.81721,1.7184
B30,37.31921,-79.818226,1.7184
B45,37.314465,-79.818717,1.03104
B50,37.31288,-79.81593,1.37472
F01,37.30247,-79.83692,0.8592
F100,37.30858,-79.83494,0.716
F101,37.309653,-79.830467,0.51552
F102,37.311678,-79.827357,0.8592
F20,37.30769,-79.8371,4.81152
F200,37.30943,-79.83619,0.68736
F30,37.30534,-79.83825,4.63968
F45,37.30418,-79.83833,4.63968
F50,37.30325,-79.83726,3.78048
F99,37.307613,-79.8360878,0.51552
