Site,lat,long,chla_ugL
B01,37.314783,-79.820864,12.71616
B100,37.31957,-79.82437,1.128242424
B20,37.3170135,-79.8226419,14.09088
B20,37.3170135,-79.8226419,13.40352
B200,37.322851,-79.81721,1.336533333
B30,37.31921,-79.818226,15.80928
B45,37.314465,-79.818717,8.24832
B50,37.31288,-79.81593,8.592
F01,37.30247,-79.83692,1.841142857
F100,37.30858,-79.83494,0.301473684
F101,37.309653,-79.830467,0.17184
F102,37.311678,-79.827357,0.263020408
F20,37.30769,-79.8371,36.43008
F20,37.30769,-79.8371,36.0864
F200,37.30943,-79.83619,1.46064
F30,37.30534,-79.83825,39.0936
F45,37.30418,-79.83833,39.5232
F50,37.30325,-79.83726,38.664
F99,37.307613,-79.8360878,0.25776
