Site,lat,lon,NH4_ppb,,,,,,,,,,,
B01,37.314783,-79.820864,3.61,,,,,,,,,,,
B100,37.31957,-79.82437,19.2,,,,,,,,,,,
B20 ,37.3170135,-79.8226419,4.73,,,,,,,,,,,
B200,37.322851,-79.81721,23.7,,,,,,,,,,,
B30,37.31921,-79.818226,6.51,,,,,,,,,,,
B45,37.314465,-79.818717,6.48,,,,,,,,,,,
B50,37.31288,-79.81593,4.55,,,,,,,,,,,
F01,37.30247,-79.83692,10.5,,,,,,,,,,,
F100,37.30858,-79.83494,6.64,,,,,,,,,,,
F101,37.309653,-79.830467,5.66,,,,,,,,,,,
F102,37.311678,-79.827357,2.41,,,,,,,,,,,
F20,37.30769,-79.8371,3.43,,,,,,,,,,,
F200,37.30943,-79.83619,21.9,,,,,,,,,,,
F30,37.30534,-79.83825,3.45,,,,,,,,,,,
F45,37.30418,-79.83833,2.63,,,,,,,,,,,
F50,37.30325,-79.83726,3.06,,,,,,,,,,,
F99,37.307613,-79.8360878,6.35,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
