Site,lat,lon,NO3NO2_ppb
B01,37.314783,-79.820864,0.684
B100,37.31957,-79.82437,11.9
B20 ,37.3170135,-79.8226419,-2.77
B200,37.322851,-79.81721,18.6
B30,37.31921,-79.818226,1.16
B45,37.314465,-79.818717,2.32
B50,37.31288,-79.81593,0.332
F01,37.30247,-79.83692,56.6
F100,37.30858,-79.83494,63.5
F101,37.309653,-79.830467,58.3
F102,37.311678,-79.827357,12.7
F20,37.30769,-79.8371,3.31
F200,37.30943,-79.83619,24.8
F30,37.30534,-79.83825,-0.0449
F45,37.30418,-79.83833,-2.79
F50,37.30325,-79.83726,2.09
F99,37.307613,-79.8360878,63.8
