Site,lat,lon,PO4_ppb,
B01,37.314783,-79.820864,0.983,
B100,37.31957,-79.82437,6.21,
B20 ,37.3170135,-79.8226419,1.75,
B200,37.322851,-79.81721,1.43,
B30,37.31921,-79.818226,1.15,
B45,37.314465,-79.818717,1.27,
B50,37.31288,-79.81593,1.35,
F01,37.30247,-79.83692,5.29,
F100,37.30858,-79.83494,12.6,
F101,37.309653,-79.830467,,
F102,37.311678,-79.827357,3.75,
F20,37.30769,-79.8371,13.78562598,
F200,37.30943,-79.83619,6.19,not sure if this is really from F200; need to rerun F20 and F200 data from this day
F30,37.30534,-79.83825,3.68,
F45,37.30418,-79.83833,5.07,
F50,37.30325,-79.83726,4.98,
F99,37.307613,-79.8360878,25.2605576,
