Site,lat,lon,NH4_ppb
B01,37.314783,-79.820864,7.7
B100,37.31957,-79.82437,23
B20 ,37.3170135,-79.8226419,10
B200,37.322851,-79.81721,49.2
B30,37.31921,-79.818226,
B45,37.314465,-79.818717,2.68
B50,37.31288,-79.81593,5.41
F01,37.30247,-79.83692,14.2
F100,37.30858,-79.83494,6.14
F101,37.309653,-79.830467,16
F102,37.311678,-79.827357,106
F20,37.30769,-79.8371,4.49
F200,37.30943,-79.83619,24.2
F30,37.30534,-79.83825,4.66
F45,37.30418,-79.83833,4.39
F50,37.30325,-79.83726,8.48
F99,37.307613,-79.8360878,5.18
