Site,lat,lon,NH4_ppb,,,,,,,,,,
B01,37.314783,-79.820864,8.57,,,,,,,,,,
B100,37.31957,-79.82437,,,,,,,,,,,
B20 ,37.3170135,-79.8226419,5.88,,,,,,,,,,
B200,37.322851,-79.81721,,,,,,,,,,,
B30,37.31921,-79.818226,2.68,,,,,,,,,,
B45,37.314465,-79.818717,2.77,,,,,,,,,,
B50,37.31288,-79.81593,3.94,,,,,,,,,,
F01,37.30247,-79.83692,,,,,,,,,,,
F100,37.30858,-79.83494,4.39,,,,,,,,,,
F101,37.309653,-79.830467,,,,,,,,,,,
F102,37.311678,-79.827357,,,,,,,,,,,
F20,37.30769,-79.8371,,,,,,,,,,,
F200,37.30943,-79.83619,,,,,,,,,,,
F30,37.30534,-79.83825,23.4,,,,,,,,,,
F45,37.30418,-79.83833,27.3,,,,,,,,,,
F50,37.30325,-79.83726,38.9,,,,,,,,,,
F99,37.307613,-79.8360878,,,,,,,,,,,
