Site,lat,lon,NO3NO2_ppb,,,,,,,,
B01,37.314783,-79.820864,6.7,,,,,,,,
B100,37.31957,-79.82437,,,,,,,,,
B20 ,37.3170135,-79.8226419,2.02,,,,,,,,
B200,37.322851,-79.81721,,,,,,,,,
B30,37.31921,-79.818226,2.29,,,,,,,,
B45,37.314465,-79.818717,1.85,,,,,,,,
B50,37.31288,-79.81593,0.412,,,,,,,,
F01,37.30247,-79.83692,,,,,,,,,
F100,37.30858,-79.83494,119,,,,,,,,
F101,37.309653,-79.830467,,,,,,,,,
F102,37.311678,-79.827357,,,,,,,,,
F20,37.30769,-79.8371,,,,,,,,,
F200,37.30943,-79.83619,,,,,,,,,
F30,37.30534,-79.83825,1.95,,,,,,,,
F45,37.30418,-79.83833,4.89,,,,,,,,
F50,37.30325,-79.83726,27.1,,,,,,,,
F99,37.307613,-79.8360878,,,,,,,,,
